ClaGenus,ClaSpecies,AutAuthorString,SummaryData
Cervicornia,cuspidifera,"(Lamarck, 1815)",
Spirastrella,cuspidifera,"(Lamarck, 1815)",
Acanthancora,cyanocrypta,"(de Laubenfels, 1930)",
Hymenamphiastra,cyanocrypta,"de Laubenfels, 1930","de Laubenfels, M. W."
Vosmaeropsis,cyanthus,"(Verrill, 1873)",
Protospongia,cyathiformis,,
Dasychalina,cyathina,"de Laubenfels, 1936","de Laubenfels, M. W."
Leucandra,cyathus,"Verrill, 1873","Verrill, A. E."
Clathria,cylindrica,"(Ridley & Dendy, 1886)",
Dictyophyton,cylindrica,,
Dictyospongia,cylindrica,,
Esperiopsis,cylindrica,"Ridley & Dendy, 1886","Ridley, S. O."
Esperiopsis,cylindrica,"Ridley & Dendy, 1886","Dendy, A."
Ircinia,cylindrica,"(Duchassaing & Michelotti, 1864)",
Neohindia,cylindrica,,
Neopetrosia,cylindrica,"(Lamarck, 1815)",
Polytherses,cylindrica,"Duchassaing & Michelotti, 1864","Duchassaing, É. P."
Polytherses,cylindrica,"Duchassaing & Michelotti, 1864","Michelotti, G."
Ectyon,cylindricus,"Carter, 1883","Carter, H. J."
Ophiraphidites,cylindricus,,
Hydriodictya,cylix,Hall & Clarke,
Halichondria,D1,,
Halichondria,D2,,
Receptaculites,dactioloides,,
Axinella,damicornis,"(Esper, 1794)",
Saccospongia,daniellensis,,
Saccospongia,danvillensis,Ulrich,"Ulrich, E. O."
Pasceolus,darwini,,
Pasceolus,darwini,,
Physospongia,dawsoni,(Whitfield),
Coeloptychium,deciminum,"Roemer, 1841","Roemer, F. A."
Siphonia,decipiens,,
Lefroyella,decora,Thompson,"Thompson, C. W."
Microblastidium,decurrens,"Schrammen, 1902","Schrammen, A."
Isodictya,deichmannae,"(de Laubenfels, 1949)",
Hazelia,delicatula,Walcott,"Walcott, C. D."
Protospongia,delicatula,,
Cliona,delitrix,"Pang, 1973","Pang, R. K."
Ancorina,demera,"(de Laubenfels, 1934)",
Ecionemia,demera,"(de Laubenfels, 1934)",
Hezekia,demera,"de Laubenfels, 1934","de Laubenfels, M. W."
Ridleia,dendiia,"de Laubenfels, 1934",
Echinodictyum,dendroides,"Hechtel, 1983","Hechtel, G. J."
Lendenfeldia,dendyi,"(von Lendenfeld, 1889)",
Phyllospongia,dendyi,von Ledendenfeld,"von Ledendenfeld, R."
Ridleia,dendyi,"de Laubenfels, 1934",
Strongylophora,dendyi,"Hechtel, 1969","Hechtel, G. J."
Aulocopium,diademata,,
Monanchora,dianchora,"de Laubenfels, 1935","de Laubenfels, M. W."
Neofolitispa,dianchora,"(de Laubenfels, 1935)",
Doryderma,dichotoma,,
Eudea,dichotoma,"Gabb, 1861","Gabb, W. M."
Doryderma,dichotomum,Bennett,
